ZIP Code,Building Climate Zone
54,1
94922,1
94923,1
95410,1
95412,1
95417,1
95420,1
95427,1
95432,1
95437,1
95450,1
95456,1
95459,1
95460,1
95462,1
95465,1
95468,1
95488,1
95497,1
95501,1
95503,1
95519,1
95521,1
95524,1
95525,1
95528,1
95536,1
95540,1
95547,1
95548,1
95549,1
95551,1
95555,1
95558,1
95562,1
95564,1
95565,1
95567,1
95570,1
95585,1
95589,1
91701,10
91708,10
91709,10
91710,10
91730,10
91737,10
91739,10
91752,10
91761,10
91762,10
91763,10
91764,10
91784,10
91786,10
91914,10
91917,10
91935,10
91977,10
91978,10
92003,10
92019,10
92020,10
92021,10
92025,10
92026,10
92027,10
92028,10
92029,10
92040,10
92061,10
92064,10
92065,10
92069,10
92071,10
92078,10
92082,10
92096,10
92127,10
92128,10
92129,10
92131,10
92145,10
92223,10
92313,10
92316,10
92318,10
92320,10
92324,10
92335,10
92336,10
92337,10
92346,10
92350,10
92354,10
92373,10
92374,10
92376,10
92377,10
92399,10
92401,10
92405,10
92408,10
92410,10
92411,10
92501,10
92503,10
92504,10
92505,10
92506,10
92507,10
92508,10
92509,10
92518,10
92521,10
92530,10
92532,10
92543,10
92544,10
92545,10
92548,10
92551,10
92553,10
92555,10
92557,10
92562,10
92563,10
92567,10
92570,10
92571,10
92582,10
92583,10
92584,10
92585,10
92586,10
92587,10
92590,10
92591,10
92592,10
92595,10
92596,10
92860,10
92879,10
92880,10
92881,10
92882,10
92883,10
95602,11
95603,11
95645,11
95648,11
95650,11
95658,11
95659,11
95661,11
95663,11
95668,11
95674,11
95677,11
95678,11
95681,11
95692,11
95703,11
95713,11
95722,11
95746,11
95747,11
95765,11
95901,11
95903,11
95912,11
95914,11
95917,11
95918,11
95919,11
95920,11
95926,11
95928,11
95932,11
95935,11
95938,11
95943,11
95945,11
95946,11
95948,11
95949,11
95951,11
95953,11
95955,11
95957,11
95960,11
95961,11
95962,11
95963,11
95965,11
95966,11
95968,11
95969,11
95970,11
95972,11
95973,11
95975,11
95977,11
95979,11
95982,11
95987,11
95988,11
95991,11
95993,11
96001,11
96002,11
96003,11
96007,11
96008,11
96019,11
96021,11
96022,11
96033,11
96035,11
96047,11
96055,11
96059,11
96062,11
96065,11
96069,11
96073,11
96080,11
96087,11
96088,11
96096,11
93620,12
93635,12
93653,12
94505,12
94506,12
94507,12
94509,12
94510,12
94512,12
94513,12
94514,12
94517,12
94518,12
94519,12
94520,12
94521,12
94523,12
94526,12
94528,12
94531,12
94533,12
94534,12
94535,12
94548,12
94549,12
94550,12
94551,12
94553,12
94556,12
94561,12
94563,12
94565,12
94566,12
94568,12
94569,12
94571,12
94582,12
94583,12
94585,12
94586,12
94588,12
94591,12
94595,12
94596,12
94597,12
94598,12
94708,12
95202,12
95203,12
95204,12
95205,12
95206,12
95207,12
95209,12
95210,12
95211,12
95212,12
95215,12
95219,12
95220,12
95222,12
95228,12
95230,12
95231,12
95232,12
95236,12
95237,12
95240,12
95242,12
95245,12
95246,12
95247,12
95249,12
95251,12
95252,12
95257,12
95258,12
95301,12
95303,12
95304,12
95306,12
95307,12
95310,12
95313,12
95315,12
95316,12
95317,12
95320,12
95322,12
95323,12
95324,12
95326,12
95327,12
95328,12
95329,12
95330,12
