ZIP,ZIPType,CityName,StateAbbr,ZCTA_USE
00501,U,Holtsville,NY,11742
00544,U,Holtsville,NY,11742
00601,S,Adjuntas,PR,00601
00602,S,Aguada,PR,00602
00603,S,Aguadilla,PR,00603
00604,P,Aguadilla,PR,00603
00605,P,Aguadilla,PR,00603
00606,S,Maricao,PR,00606
00610,S,Anasco,PR,00610
00611,P,Angeles,PR,00641
00612,S,Arecibo,PR,00612
00613,P,Arecibo,PR,00612
00614,P,Arecibo,PR,00612
00616,S,Bajadero,PR,00616
00617,S,Barceloneta,PR,00617
00622,S,Boqueron,PR,00622
00623,S,Cabo Rojo,PR,00623
00624,S,Penuelas,PR,00624
00627,S,Camuy,PR,00627
00631,P,Castaner,PR,00631
00636,P,Rosario,PR,00680
00637,S,Sabana Grande,PR,00637
00638,S,Ciales,PR,00638
00641,S,Utuado,PR,00641
00646,S,Dorado,PR,00646
00647,S,Ensenada,PR,00647
00650,S,Florida,PR,00650
00652,S,Garrochales,PR,00652
00653,S,Guanica,PR,00653
00656,S,Guayanilla,PR,00656
00659,S,Hatillo,PR,00659
00660,S,Hormigueros,PR,00660
00662,S,Isabela,PR,00662
00664,S,Jayuya,PR,00664
00667,S,Lajas,PR,00667
00669,S,Lares,PR,00669
00670,S,Las Marias,PR,00670
00674,S,Manati,PR,00674
00676,S,Moca,PR,00676
00677,S,Rincon,PR,00677
00678,S,Quebradillas,PR,00678
00680,S,Mayaguez,PR,00680
00681,P,Mayaguez,PR,00680
00682,S,Mayaguez,PR,00682
00683,S,San German,PR,00683
00685,S,San Sebastian,PR,00685
00687,S,Morovis,PR,00687
00688,S,Sabana Hoyos,PR,00688
00690,S,San Antonio,PR,00690
00692,S,Vega Alta,PR,00692
00693,S,Vega Baja,PR,00693
00694,P,Vega Baja,PR,00694
00698,S,Yauco,PR,00698
00703,S,Aguas Buenas,PR,00703
00704,S,Aguirre,PR,00704
00705,S,Aibonito,PR,00705
00707,S,Maunabo,PR,00707
00714,S,Arroyo,PR,00714
00715,S,Mercedita,PR,00715
00716,S,Ponce,PR,00716
00717,S,Ponce,PR,00717
00718,S,Naguabo,PR,00718
00719,S,Naranjito,PR,00719
00720,S,Orocovis,PR,00720
00721,P,Palmer,PR,00745
00723,S,Patillas,PR,00723
00725,S,Caguas,PR,00725
00726,P,Caguas,PR,00725
00727,S,Caguas,PR,00727
00728,S,Ponce,PR,00728
00729,S,Canovanas,PR,00729
00730,S,Ponce,PR,00730
00731,S,Ponce,PR,00731
00732,P,Ponce,PR,00731
00733,P,Ponce,PR,00730
00734,P,Ponce,PR,00716
00735,S,Ceiba,PR,00735
00736,S,Cayey,PR,00736
00737,P,Cayey,PR,00736
00738,S,Fajardo,PR,00738
00739,S,Cidra,PR,00739
00740,S,Puerto Real,PR,00740
00741,S,Punta Santiago,PR,00741
00742,P,Roosevelt Roads,PR,00735
00744,P,Rio Blanco,PR,00718
00745,S,Rio Grande,PR,00745
00751,S,Salinas,PR,00751
00754,S,San Lorenzo,PR,00754
00757,S,Santa Isabel,PR,00757
00765,S,Vieques,PR,00765
00766,S,Villalba,PR,00766
00767,S,Yabucoa,PR,00767
00769,S,Coamo,PR,00769
00771,S,Las Piedras,PR,00771
00772,S,Loiza,PR,00772
00773,S,Luquillo,PR,00773
00775,P,Culebra,PR,00775
00777,S,Juncos,PR,00777
00778,S,Gurabo,PR,00778
00780,S,Coto Laurel,PR,00780
00782,S,Comerio,PR,00782
00783,S,Corozal,PR,00783
00784,S,Guayama,PR,00784
00785,P,Guayama,PR,00784
00786,P,La Plata,PR,00786
00791,S,Humacao,PR,00791
00792,P,Humacao,PR,00791
00794,S,Barranquitas,PR,00794
00795,S,Juana Diaz,PR,00795
00801,P,St Thomas,VI,
00802,S,St Thomas,VI,
00803,P,St Thomas,VI,
00804,P,St Thomas,VI,
00805,P,St Thomas,VI,
00820,S,Christiansted,VI,
00821,P,Christiansted,VI,
00822,P,Christiansted,VI,
